日期,预测价格,预测低点,置信度,策略置信度,使用阈值,实际低点,趋势状态,未来最大涨幅,涨幅天数,预测正确,策略原因,策略指标
2025-07-18,6099.61,True,0.7128908634084512,0.5,0.5,True,bull,0.07688360403370052,20,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.93) | 置信度达阈值(0.50 ≥ 0.50),"{""ma5"": 6047.7771999999995, ""ma10"": 6008.0653, ""ma20"": 5933.1145, ""rsi"": 74.2110658430806, ""macd"": 78.69637109255473, ""bb_lower"": 5726.250282137642, ""trend_regime"": ""bull""}"
2025-07-21,6161.309,False,0.43575915914031293,0.252,0.5,True,bull,0.09198694628040895,22,False,温和放量(量比1.2) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 基础置信度保留(0.6倍),"{""ma5"": 6075.867200000001, ""ma10"": 6034.1556, ""ma20"": 5957.47145, ""rsi"": 76.797905724495, ""macd"": 85.86983288141982, ""bb_lower"": 5764.750720781437, ""trend_regime"": ""bull""}"
2025-07-22,6213.407,False,0.43575915914031293,0.252,0.5,True,bull,0.0828308848913326,21,False,温和放量(量比1.4) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 基础置信度保留(0.6倍),"{""ma5"": 6114.7970000000005, ""ma10"": 6057.7219, ""ma20"": 5979.849950000001, ""rsi"": 86.98314583400663, ""macd"": 94.66745869456099, ""bb_lower"": 5777.139694986096, ""trend_regime"": ""bull""}"
2025-07-23,6196.758,False,0.4823886528258253,0.52,0.5,True,bull,0.10103492826410196,22,False,温和放量(量比1.4) | 单日微跌(-0.27%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.52 ≥ 0.50),"{""ma5"": 6150.7096, ""ma10"": 6082.049, ""ma20"": 5996.5602, ""rsi"": 82.61626993759909, ""macd"": 99.15322867699797, ""bb_lower"": 5779.940108527046, ""trend_regime"": ""bull""}"
2025-07-24,6293.598,False,0.4355954997267491,0.252,0.5,True,bull,0.08409323251977642,21,False,温和放量(量比1.5) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 基础置信度保留(0.6倍),"{""ma5"": 6192.9364000000005, ""ma10"": 6113.103700000001, ""ma20"": 6019.32785, ""rsi"": 87.77799964808287, ""macd"": 109.26289770965377, ""bb_lower"": 5778.412626435805, ""trend_regime"": ""bull""}"
2025-07-25,6299.591,False,0.34215812910853893,0.51,0.5,True,bull,0.08306190036781744,20,False,温和放量(量比1.3) | 近期成交活跃(5日量比1.3) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.51 ≥ 0.50),"{""ma5"": 6232.9326, ""ma10"": 6140.3549, ""ma20"": 6041.121, ""rsi"": 89.8575179974639, ""macd"": 116.41649142230926, ""bb_lower"": 5781.35269000124, ""trend_regime"": ""bull""}"
2025-07-28,6323.42,False,0.31383330608765925,0.23399999999999999,0.5,True,bull,0.10131305527704937,21,False,近期成交活跃(5日量比1.3) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 基础置信度保留(0.6倍),"{""ma5"": 6265.3548, ""ma10"": 6170.611, ""ma20"": 6061.5226, ""rsi"": 88.64408750245946, ""macd"": 122.59536408695476, ""bb_lower"": 5780.139769139727, ""trend_regime"": ""bull""}"
2025-07-29,6356.133,False,0.3111428990884594,0.18,0.5,True,bull,0.1030543256410777,22,False,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 基础置信度保留(0.6倍),"{""ma5"": 6293.9, ""ma10"": 6204.3485, ""ma20"": 6082.5957499999995, ""rsi"": 94.1776823958991, ""macd"": 128.64884706823614, ""bb_lower"": 5778.965238468238, ""trend_regime"": ""bull""}"
2025-07-30,6314.687,False,0.3955242812577775,0.24,0.5,True,bull,0.11548553396233259,22,False,单日微跌(-0.65%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 基础置信度保留(0.6倍),"{""ma5"": 6317.4858, ""ma10"": 6234.0977, ""ma20"": 6103.6825499999995, ""rsi"": 85.46196058974233, ""macd"": 128.61928704424554, ""bb_lower"": 5796.9449730727665, ""trend_regime"": ""bull""}"
2025-07-31,6226.343,True,0.7176059789986529,0.8,0.5,True,bull,0.13131287498937982,21,True,"单日下跌(-1.40%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(85.5→69.5, -16.0) | 置信度达阈值(0.80 ≥ 0.50)","{""ma5"": 6304.034799999999, ""ma10"": 6248.4856, ""ma20"": 6118.8667000000005, ""rsi"": 69.46279619464357, ""macd"": 120.08299600500231, ""bb_lower"": 5819.891969723902, ""trend_regime"": ""bull""}"
2025-08-01,6213.201,True,0.8807139420996103,0.72,0.5,True,bull,0.13370579834774377,20,True,单日微跌(-0.21%) | 3日累计下跌(-2.25%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.84) | 置信度达阈值(0.72 ≥ 0.50),"{""ma5"": 6286.7568, ""ma10"": 6259.8447, ""ma20"": 6133.955, ""rsi"": 68.53605791470063, ""macd"": 110.97818683174955, ""bb_lower"": 5848.924664241921, ""trend_regime"": ""bull""}"
2025-08-04,6261.731,True,0.90077527670734,0.53,0.5,True,bull,0.1355147642081718,20,True,成交量偏低(量比0.8) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.75) | 置信度达阈值(0.53 ≥ 0.50),"{""ma5"": 6274.419, ""ma10"": 6269.8868999999995, ""ma20"": 6152.02125, ""rsi"": 71.49210718588402, ""macd"": 106.45141968083317, ""bb_lower"": 5884.0249140352635, ""trend_regime"": ""bull""}"
2025-08-05,6303.236,True,0.8641062703016037,0.53,0.5,True,bull,0.12803772538423117,19,True,成交量偏低(量比0.8) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.78) | 置信度达阈值(0.53 ≥ 0.50),"{""ma5"": 6263.839599999999, ""ma10"": 6278.8697999999995, ""ma20"": 6168.29585, ""rsi"": 73.63182271072681, ""macd"": 105.00262581979223, ""bb_lower"": 5905.376706905317, ""trend_regime"": ""bull""}"
2025-08-06,6357.377,True,0.7584398733473069,0.5,0.5,True,bull,0.11843107621272092,18,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.84) | 置信度达阈值(0.50 ≥ 0.50),"{""ma5"": 6272.3776, ""ma10"": 6294.9317, ""ma20"": 6188.49035, ""rsi"": 73.13790346336744, ""macd"": 106.98985996490501, ""bb_lower"": 5933.1048858302, ""trend_regime"": ""bull""}"
2025-08-07,6337.543,True,0.8256160809058517,0.8999999999999999,0.5,True,bull,0.12193132259615437,17,True,"单日微跌(-0.31%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(73.1→69.9, -3.2) | 多头趋势: 回撤缩量(量比0.87) | 置信度达阈值(0.90 ≥ 0.50)","{""ma5"": 6294.6176, ""ma10"": 6299.3261999999995, ""ma20"": 6206.21495, ""rsi"": 69.93530094861774, ""macd"": 105.74535270007982, ""bb_lower"": 5961.897908450671, ""trend_regime"": ""bull""}"
2025-08-08,6323.5,True,0.8411495330113097,0.8999999999999999,0.5,True,bull,0.12442286708310264,16,True,"单日微跌(-0.22%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(69.9→64.8, -5.2) | 多头趋势: 回撤缩量(量比0.89) | 置信度达阈值(0.90 ≥ 0.50)","{""ma5"": 6316.6774, ""ma10"": 6301.7171, ""ma20"": 6221.036, ""rsi"": 64.76861522435513, ""macd"": 102.44499683504455, ""bb_lower"": 5986.715390277569, ""trend_regime"": ""bull""}"
2025-08-11,6391.76,True,0.7516484401724393,0.5,0.5,True,bull,0.11241473396998625,15,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.91) | 置信度达阈值(0.50 ≥ 0.50),"{""ma5"": 6342.6831999999995, ""ma10"": 6308.5511, ""ma20"": 6239.58105, ""rsi"": 65.77594030452755, ""macd"": 104.13702575178286, ""bb_lower"": 6013.399158163387, ""trend_regime"": ""bull""}"
2025-08-12,6418.16,True,0.7634323586827921,0.5,0.5,True,bull,0.10977367345158115,22,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.88) | 置信度达阈值(0.50 ≥ 0.50),"{""ma5"": 6365.668, ""ma10"": 6314.7538, ""ma20"": 6259.55115, ""rsi"": 69.25167820249729, ""macd"": 106.38192560675725, ""bb_lower"": 6045.245316881037, ""trend_regime"": ""bull""}"
