index,open,high,low,close,volume,amount,date
1357,6341.008,6530.271,6324.048,6530.271,15922168400,186898356931.0,2020-07-29
1358,6548.701,6564.775,6491.449,6511.436,17761556100,209285453558.0,2020-07-30
1359,6499.394,6619.262,6463.415,6579.669,17991294100,207862488529.0,2020-07-31
1360,6635.343,6739.809,6614.432,6739.809,20726674600,240946720735.0,2020-08-03
1361,6758.494,6764.905,6672.894,6697.707,20947893600,245084781554.0,2020-08-04
1362,6696.687,6790.008,6653.277,6772.842,18484381600,217994170978.0,2020-08-05
1363,6780.327,6792.276,6656.278,6770.302,20522984200,240928921872.0,2020-08-06
1364,6743.291,6755.528,6578.667,6688.882,19812821400,227976663622.0,2020-08-07
1365,6666.56,6768.866,6651.742,6725.295,17535322700,210390907232.0,2020-08-10
1366,6727.769,6756.845,6594.979,6600.847,18084577100,203427777772.0,2020-08-11
1367,6580.006,6599.657,6395.006,6528.4,17788904500,197969436425.0,2020-08-12
1368,6552.37,6592.116,6518.423,6552.657,16206051500,166812245237.0,2020-08-13
1369,6542.603,6629.506,6506.026,6623.563,15687598800,161300612456.0,2020-08-14
1370,6646.542,6752.317,6614.185,6744.547,20140735700,207540650739.0,2020-08-17
1371,6747.606,6811.563,6737.529,6789.398,18916617500,208576358641.0,2020-08-18
1372,6782.593,6782.593,6661.988,6666.274,19430913600,205475855509.0,2020-08-19
1373,6622.005,6672.491,6570.695,6593.785,15764625800,163429358353.0,2020-08-20
1374,6628.901,6686.023,6589.197,6643.944,14296349300,153128200636.0,2020-08-21
1375,6667.296,6702.749,6589.929,6688.965,14302035400,157948512266.0,2020-08-24
1376,6698.12,6734.438,6631.685,6652.548,14709813000,158243101131.0,2020-08-25
1377,6650.449,6660.763,6501.241,6525.878,15373477100,170546092542.0,2020-08-26
1378,6538.136,6585.719,6486.751,6578.791,12983619800,142139979127.0,2020-08-27
1379,6571.898,6695.357,6553.923,6691.209,14194959300,155878611730.0,2020-08-28
1380,6719.286,6765.885,6667.679,6668.433,15602438500,173312513829.0,2020-08-31
1381,6667.168,6710.46,6637.634,6710.46,12563249000,140204445918.0,2020-09-01
1382,6725.691,6742.553,6647.034,6717.558,14956254800,160818469799.0,2020-09-02
1383,6715.104,6732.674,6638.448,6662.251,14211033500,151591727849.6,2020-09-03
1384,6545.888,6631.029,6538.49,6618.576,12535846200,132077386325.0,2020-09-04
1385,6619.898,6669.394,6459.103,6478.813,15558174800,167216213932.0,2020-09-07
1386,6493.774,6542.996,6432.952,6525.098,16123031800,148148725286.0,2020-09-08
1387,6455.305,6471.482,6319.271,6349.224,21691635100,176688524174.0,2020-09-09
1388,6404.665,6414.962,6219.636,6235.569,18104949700,149335340844.0,2020-09-10
1389,6209.788,6319.669,6209.788,6311.967,12462919400,115690880160.5,2020-09-11
1390,6350.355,6381.182,6297.902,6351.242,13050227700,129303970063.0,2020-09-14
1391,6351.037,6388.13,6328.537,6387.88,11518415400,117077083505.0,2020-09-15
1392,6379.518,6387.767,6321.567,6353.836,11337988700,112504425529.0,2020-09-16
1393,6345.671,6416.009,6291.634,6367.021,11895968100,123682498363.0,2020-09-17
1394,6367.792,6473.6,6353.561,6469.469,13522626400,136788919948.0,2020-09-18
1395,6492.225,6515.337,6434.324,6445.965,12602372100,133640323489.0,2020-09-21
1396,6392.025,6462.975,6341.484,6358.652,12130589400,122989741812.0,2020-09-22
1397,6382.281,6411.205,6356.164,6392.033,9504883300,106027143368.0,2020-09-23
1398,6353.694,6354.683,6243.282,6244.639,11280146700,112624608425.0,2020-09-24
1399,6271.701,6285.472,6206.182,6236.891,8779878800,92989168390.0,2020-09-25
1400,6255.021,6261.93,6171.02,6178.469,7896291500,87526269793.0,2020-09-28
1401,6206.991,6280.443,6179.881,6228.771,8137116400,91783259882.0,2020-09-29
1402,6245.116,6260.124,6155.021,6192.504,8148409300,89615460415.0,2020-09-30
1403,6300.07,6373.937,6290.471,6357.971,10038623100,115149926305.0,2020-10-09
1404,6408.083,6541.31,6399.683,6541.176,14482434900,160960006151.0,2020-10-12
1405,6538.835,6557.863,6486.309,6551.399,11155845000,130283812099.0,2020-10-13
1406,6547.837,6547.837,6492.658,6508.375,11862960400,133539992971.0,2020-10-14
1407,6511.071,6518.55,6456.771,6460.041,10700425200,115595908996.0,2020-10-15
1408,6456.737,6473.634,6388.646,6428.682,9873202200,109046534531.0,2020-10-16
1409,6466.566,6483.508,6346.263,6358.321,10366836300,114682882325.0,2020-10-19
1410,6349.644,6423.157,6324.389,6423.113,8618922400,95327322736.0,2020-10-20
1411,6426.194,6426.509,6323.44,6350.013,8751225500,102120928452.0,2020-10-21
1412,6331.804,6334.542,6256.232,6317.144,8572472900,96745752081.0,2020-10-22
1413,6312.008,6362.428,6202.535,6213.263,8056509000,93954361163.0,2020-10-23
1414,6195.354,6239.716,6127.383,6214.378,7339295600,85255066151.0,2020-10-26
1415,6187.473,6227.842,6168.971,6221.341,7558651600,89315873363.0,2020-10-27
1416,6221.74,6254.716,6164.241,6245.999,8713088800,104079228635.0,2020-10-28
1417,6168.908,6287.648,6159.144,6255.193,9258748300,109761286278.0,2020-10-29
1418,6272.927,6274.616,6103.891,6111.48,11212236000,126461002490.0,2020-10-30
1419,6119.451,6162.276,6095.804,6143.116,11175637900,123794413319.0,2020-11-02
1420,6175.159,6245.558,6155.734,6241.768,10544003600,115863061001.0,2020-11-03
1421,6246.637,6256.069,6181.097,6234.158,9292974500,108226613295.0,2020-11-04
1422,6294.614,6358.444,6273.315,6351.979,11884321500,132602148329.0,2020-11-05
1423,6366.186,6366.186,6254.087,6301.248,11824421100,131702113343.0,2020-11-06
1424,6337.441,6452.914,6337.441,6421.65,16002788200,175071789214.0,2020-11-09
1425,6434.43,6435.413,6339.286,6373.085,14192893200,155931471262.0,2020-11-10
1426,6356.367,6375.24,6292.837,6294.605,13072808100,134439037098.0,2020-11-11
1427,6305.065,6340.999,6285.291,6315.494,10468068700,113184124162.0,2020-11-12
1428,6304.459,6319.413,6248.355,6306.97,10711632200,112943607787.0,2020-11-13
1429,6319.704,6387.416,6294.29,6387.371,13367733000,131781935049.0,2020-11-16
1430,6380.769,6380.769,6300.566,6336.94,14127431800,138972383424.4,2020-11-17
1431,6333.451,6382.497,6314.309,6341.014,13398246200,129795857711.0,2020-11-18
1432,6328.083,6370.181,6293.555,6360.6,12380484500,121059609479.0,2020-11-19
1433,6354.787,6429.87,6351.308,6422.985,13066764500,128065402931.0,2020-11-20
1434,6435.918,6516.241,6407.057,6472.93,18192566800,170218076145.0,2020-11-23
1435,6472.747,6495.137,6454.666,6475.188,15406296500,148759535148.0,2020-11-24
1436,6489.255,6489.722,6350.367,6350.367,15381310600,156624909522.0,2020-11-25
1437,6349.862,6358.174,6284.973,6334.304,12323693600,125528466080.0,2020-11-26
1438,6337.384,6351.81,6276.073,6351.612,12088511600,117407959618.0,2020-11-27
1439,6360.462,6397.72,6309.444,6320.944,16315768200,157517649561.0,2020-11-30
1440,6307.854,6437.943,6299.414,6426.616,15095734000,152562838801.0,2020-12-01
1441,6437.956,6446.807,6392.989,6434.979,14970510500,150490962737.0,2020-12-02
1442,6437.384,6461.088,6392.899,6440.881,15221493300,152891750850.0,2020-12-03
1443,6426.026,6471.856,6409.678,6464.734,12885516900,135320890716.0,2020-12-04
1444,6465.988,6472.85,6417.648,6424.682,12107828200,130847019898.5,2020-12-07
1445,6424.159,6448.393,6406.724,6423.651,10549499200,118324850768.4,2020-12-08
1446,6430.477,6437.433,6307.221,6307.221,12151621300,133439441029.0,2020-12-09
1447,6295.353,6350.918,6267.171,6320.096,11057714200,122398601686.0,2020-12-10
1448,6328.828,6340.395,6163.412,6209.427,13264160600,143457071945.0,2020-12-11
1449,6207.826,6260.613,6176.54,6259.018,10687714900,123900781656.0,2020-12-14
1450,6250.097,6276.584,6228.679,6265.582,9798099400,119718559345.0,2020-12-15
1451,6268.211,6271.03,6219.086,6235.435,9928395000,114108040737.0,2020-12-16
1452,6225.079,6312.005,6184.543,6308.901,12770274400,140083142643.0,2020-12-17
1453,6310.16,6332.533,6269.213,6291.918,12862228800,137531405180.0,2020-12-18
1454,6302.258,6401.546,6293.922,6398.599,13634782200,156761702647.0,2020-12-21
1455,6372.879,6378.499,6241.56,6250.061,15131061800,172456513343.0,2020-12-22
1456,6255.353,6330.603,6242.625,6307.604,14404432300,166258560029.0,2020-12-23
1457,6308.48,6308.48,6202.403,6205.225,13122165300,147688966891.0,2020-12-24
1458,6190.992,6284.585,6186.025,6278.498,13447826700,143831769330.0,2020-12-25
1459,6283.782,6288.244,6219.091,6244.482,14896021400,160495558567.3,2020-12-28
1460,6240.735,6280.04,6196.415,6199.853,15447603200,155674658940.0,2020-12-29
1461,6196.451,6289.271,6188.593,6269.249,13804167300,148227835333.0,2020-12-30
1462,6282.958,6370.569,6281.014,6367.115,16019408600,174289318594.0,2020-12-31
1463,6395.612,6501.589,6359.08,6482.787,18662120900,211126911334.0,2021-01-04
1464,6470.25,6539.731,6452.524,6539.731,19672629200,227033005056.0,2021-01-05
1465,6549.731,6569.199,6472.745,6528.143,17852108600,209333367288.0,2021-01-06
1466,6523.676,6567.272,6467.437,6538.116,19713564100,219238806495.0,2021-01-07
1467,6541.558,6598.381,6484.398,6557.596,18083742900,207113827944.0,2021-01-08
1468,6557.453,6572.854,6419.731,6455.399,18325727100,217940399023.0,2021-01-11
1469,6425.815,6543.229,6425.815,6543.229,16231123700,199048530439.0,2021-01-12
1470,6550.035,6553.649,6457.881,6496.913,18491342000,222962632353.0,2021-01-13
1471,6471.79,6516.269,6402.6,6439.885,16302381600,198732646503.0,2021-01-14
1472,6427.13,6447.876,6339.428,6417.501,13824319900,166962801807.0,2021-01-15
1473,6414.83,6529.413,6392.065,6514.464,13683280700,169891546069.0,2021-01-18
1474,6510.479,6532.647,6456.115,6476.374,14761671600,174545108266.0,2021-01-19
1475,6477.668,6535.475,6449.284,6535.418,12852543200,153378909112.0,2021-01-20
1476,6552.035,6649.863,6550.88,6622.496,15680958700,189208745541.0,2021-01-21
1477,6619.86,6643.666,6573.82,6637.805,15806231000,202861676272.0,2021-01-22
1478,6636.22,6711.571,6599.974,6645.313,16562310300,223556746416.0,2021-01-25
1479,6621.148,6624.449,6515.258,6532.961,14337131100,191892389929.0,2021-01-26
1480,6527.68,6564.286,6481.157,6557.161,13976004900,174776064769.0,2021-01-27
1481,6475.861,6529.842,6405.813,6414.381,14482540600,174817693999.0,2021-01-28
